filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
000062b9,6aa98e913c468a18b38d2c3033083c406b1d3446,cd40f1c0842cff26c97b8c5cd2623e0915c192ac,true,ps2 textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
00006739,f3017c056a76abc206d7f0910290f3a22b317a83,748639f666c402d6e96b149a4543d2b85eac7c96,true,ps2 textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0016cb7f,657cf74db32bc8d04b9bce5339b5f24b26b1b115,75c6d19a9a16e4cb04998b4ca6a6f528fc396988,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
00180189,9e2ccfd08d14c92ceac38ab13d8cd337b5e8eb47,d879f7abd3d65787b3860d5e8851cf30f99d1b51,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
002e7dff,08887c8672641826455e6d4661ec4f2fd84cbe75,b9df4a402360df58b1e17371203c4cbdcf76ecc3,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
003f0404,1ba068a86c8e099a9f3bd11b5eb5467288a31f18,0f10dd51f90d2b15fed7a7f6a4c0cc19f8db0ce9,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
004b2a01,5bd4b39ef0138d2a7157c65a3d2d2cebefe49b35,969af64916ae21f95a19db6ed0a68e92e1895e24,true,ps2 textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0050bfc5,babc6d4d0546227970058d8996a047c694a73916,5b22b06b0ff72c1961ec1b1118546e70fa31d4c3,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
0055b270,93f3fc854cc730b008b2337474f4d30aa44f5701,03d69d2e74f2e098ff8e2469ebdaba3b1e3b8153,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
006262b9,b773fe70ff9fd668b33e1f8a42a239cad8f161c2,d9d2228f593cff17993cf997ea1bf76ee144999a,true,ps2 textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
00626739,9a03ce8f79219cdd5cc8585af9e88b72a4f629f4,b278c6b59c583a63703e2cfbb64c72ff827b12e0,true,ps2 textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0065a618,35d9b9b0dc3e2415d3996f8e92c04fc149f87232,4675fb05107cc59764456a6144009e9f57a01b83,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
006c9021,b0ac3ba613f8df17f9e3ca68b8cf0b51a4c5913c,b52d0b1ebabced6848db8fd14d0c9c01e4209c4c,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
007a0189,2fe3ad3de06e3b45a23cd2b848227b8cdac97b3c,fdb43cdf0e6aa000f0cad0baed65c6c8423d4b3d,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
0086a618,ea02b9c834370c5cc0d9f00f169c67dd8515d1c8,403ab5953c57fd5b0808087ba16b38b89a0934d5,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
009720e7,f44141e74e91cac8b9397e292a5558b37bae9fdf,d9ea2dbd6933c2503c234906d7208d7a8c76e5f3,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
009fbc16,47c64b0e52905dba15927a513eb3faf8bbb98e93,1a9180888c4b513f69b58e69d98251fb5d6f465f,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
00b7b270,3a3268c8a32bf393dbe9d7193ceeee295a8c2972,ab3fcb9861ae2211e70244cf5e62ea5938b63c10,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
00b8cb7a,5fe1e8d238290d1a82d6f9b8dc6a9fb8f53dea43,286526ded5d69e1bfd2e6307bba33e189c8554fe,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
00e103ff,5c2318cca7ea5d04d33a822ad3f9586a876e4f6d,d7865b98b77f0b8c8d1ffacc51910530ac4fe138,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
00ed29fc,0c481701c734d6d4db901d92899433acff44addf,d7a147a5b2e795a48f081f91217a6d0e94b000f3,true,ps2 textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
00edb9fc,d78a4a429daf0e54853efb9a436906cbe64b12db,37886d97b7119aa1c3802e543a21077341d9fe57,true,ps2 textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
00eebfc4,09acb5d88466ecbdc0501d6cdd37d70a5167ac57,e4a0b101428820c829e4ce117463610a5b367d8e,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
00f520eb,b77033e0fd94ff3d134f49a53084aea43350a472,6372416dbdee20adb96262e2d6525b5dfb6ab7af,true,ps2 textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
00fa15d7,6b6f1e4d21d8e87c5b1320d111b7157da4085f05,535cad0b2f5f6b9d1c594db95962e93b1ef6aa2a,true,ps2 textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
