filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized
000062b9,2e5148108312e31d43b9d034c53984909b15322d,408cb05679a25f7260f22e0f0a2a0649b1dca3ed,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
00006739,22e0464927d7cce64103d29d2d15ffef22014e64,86eede663130d2e9fdcaaf0b8e90a152834efbb7,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
0016cb7f,6802d9b51b948a2a1a26d3e021bd1fd501b8845e,f34bf48aebe63d99b583bf3e6a1eecc8602eba6f,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
00180189,5c2c0ad8a9b3ae13fc55a1e47eba6f079ce3db93,6c1ca63ff60f4d8d558e14d016d23ba66b1039d3,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
003f0404,c9ec93c7ece76992e0516a6a3576a721632541d7,52c241612430cb64fcb5d4ad59f87aa8fe294857,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
004b2a01,02a72d4bf0d78e0ed4b9a8bfe84ebaf232c326a5,0c0ba8dbfc8cdd6205be963754502c015ba3919b,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
0050bfc5,86578a74bd9bff36a902d703b2d6e1fcb0c33290,2dd615aa919453699bfebf6bee8ada2f634d09ed,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
0055b270,90559ea56cddfe94b650c925ac68227467d930f7,bd657cc4436e3dd8794765599af50bfcb69cdcbd,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
006262b9,115baef6313ffbc5a9157056381db7f9f7b694d1,16fcc2a5ccdcb6572c19bed3064da1f1d59650da,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
00626739,ffda276c6bee13f0cb210ba17f19e8f91c7cbe69,5160c1aa5b06d698d13962b7816f7be45a076c31,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
007a0189,4083d541541b6bc24a1f811f24a2485b015d283c,2c7083adbcc8e8c148c7404d392c7f5273bc3ef0,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
009720e7,15da4b0e566e1327d265816214f939a00f5caa6b,197386c099e1407134fd50d99a7b5e9b5d65b873,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
00b7b270,bc383e20dd442424cf837f35a81a71c6cfd26d7b,ce5b062ac55c03ced94915a3e22afb2ff7bc8447,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
00b8cb7a,a3c7350c932df2397aec329e006674ceef3164cb,9055c8fa08450055222052e9b006f2dff0be5ddf,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
00e103ff,f48dea99268d117271a33b28cf5a4b5e02a7f027,d3c9a7eb867bfd7e1872e86d5880ec552f6fc724,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
00ed29fc,d1dec3f0ef14a2ee0674aa37aaf64a3118e7ce6c,12c65c744f96e637a32dba1f521d0ab04e48c0e9,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
00edb9fc,a736530da47b53e92e32155515bd30fc57346de7,e5148989091160b0ff6c576de399c360941c97c6,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
00eebfc4,535e7c41cf3fc0f6a76c185ea16025f10745a429,e6bb08d1d49113fd38a2524c8e861ce4e0ea674b,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
00f520eb,f2aa390256f272db5b8f2f33bf04b7ea8409778c,28748fa560c150d344a8f604ddf9910fc7643b3a,true,ps2 textures\HAS ALPHA\bp_remade,false,true,4,remarci_4x,false,0,false
0wall1_2.bmp,98c00adce66701d21fecc75b43218a9df44969e3,f4769540f78b04eb70135e8cab8f5e5babef1d82,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
0wall1_60s.bmp,468caccabde15dcaed7740a5e99b5c7e310a4a27,11e350451a242b9658e04f48a0a547899a2474ac,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
0wall1mi.bmp,fc1a13cfab3449a6472ba884aa277cf131fa6755,c399dd43b8ff60bfe63cd29129155b5b0a0e2482,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
0wall1mi2.bmp,0685d56dc787086cb52432342f6ee30b42fd3ac8,f6b3aa3de3944978d38b16f715d75700cbd27a9c,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
0wall1sita.bmp,7ca660b915b1f25d3a3860ec08f5f35dd565282b,ad4da8ab503e10da192ef3154024ffe250d803aa,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
1wallu2.bmp,728d297418d950bdcbacab15f1319bfa1f900e74,c9162ca3173d2a8f36b2736f2eeafe0e9e6e6b10,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
1wallu3.bmp,804dd0399b6d502b724bf06bc61a444b23050264,ac333a0546ceeb4868309bded80ab5b2c117e0e0,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
1wallu4.bmp,d74ad891dc06822511a4d1d32194fdf27de99c49,3f9ab2c7ab6670b2721eb7027d12a2cff08b40f3,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
1wallup.bmp,8b7c49f1cb2d227228287651fd3df31de1204c5a,eb0c738349254bd7956c0ad342566a7c8d915ee1,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
a24d2_pane03_alp.bmp,b19f5278b0e69113bf463107d83e7ec9c91d1082,13dff3c5ca5466717014bf514885a0fc0b7593d5,true,ps2 textures\opaque\bp_remade,true,true,4,remarci_4x,false,0,false
